A_Washer,A_Doorman,S_NumBeds,A_Breakfast,A_HotTub,A_CarbonMonoxDetector,AboutListing,S_PropType,A_CableTV,A_Elevator,A_Fireplace,S_Bedrooms,R_hostname,A_Intercom,A_Heat,S_CheckIn,A_Gym,R_reviews,A_Smoking,S_Bathrooms,R_data_user,A_Essentials,A_Internet,A_SmokeDetector,R_data_star_rating,A_Pool,S_Accomodates,A_FamilyFriendly,R_loc_lat,A_Kitchen,R_value,A_FireExt,R_loc_lng,A_Pets,A_SafetyCard,R_memberdate,S_BedType,A_Wheelchair,A_FirstAidKit,A_cleaningfee,S_CheckOut,A_TV,A_Shampoo,A_Dryer,R_roomtype,A_Events,A_AC,R_data_id,R_resprate,A_Parking
,,2,,,,,,,,,2,Monterey Apartment Walk Town Beach,,,12:00 PM (noon),,,,1,,,,,,,4,,36.60285710235452,,$189,,-121.89583794130428,,,,,,,$65,3:00 PM,,,,Entire home/apt,,,,,
,,1,,,,,,,,,1,Secluded Getaway! 2 Aquarium Passes,,,11:00 AM,,,,1,,,,,,,2,,36.599375939364705,,$115,,-121.90117048060017,,,,Real Bed,,,$50,4:00 PM,,,,Entire home/apt,,,,,
,,7,,,,,,,,,5,Centrally located family home,,,1:00 PM,,,,2,,,,,,,,,36.58980068430066,,$365,,-121.90136644416972,,,,,,,$100,3:00 PM,,,,Entire home/apt,,,,,
,,1,,,,,,,,,0,Fully Furnished Space,,,1:00 PM,,,,1,,,,,,,2,,36.61547601125868,,$130,,-121.90668050119866,,,,Real Bed,,,$45,3:00 PM - 12AM (midnight),,,,Entire home/apt,,,,,
,,1,,,,,,,,,1,Quiet master suite in the forest,,,11:00 AM,,,,1,,,,,,,2,,36.584072399039606,,$185,,-121.90984176719967,,,,Real Bed,,,,2:00 PM,,,,Private room,,,,,
,,2,,,,,,,,,1,"Bright, sunny, charming, 1/1 apt",,,12:00 PM (noon),,,,1,,,,,,,4,,36.595301113563444,,$169,,-121.87967157480257,,,,,,,,4:00 PM,,,,Entire home/apt,,,,,
,,1,,,,,,,,,1,Victorian In downtown Monterey,,,12:00 PM (noon),,,,1,,,,,,,3,,36.598997521651526,,$93,,-121.89906812893797,,,,Real Bed,,,$30,3:00 PM,,,,Entire home/apt,,,,,
,,1,,,,,,,,,1,Private studio/Monterey/Laguna Seca,,,,,,,1,,,,,,,2,,36.5592727148475,,$105,,-121.78718726621169,,,,Real Bed,,,$120,,,,,Entire home/apt,,,,,
,,2,,,,,,,,,2,Closest Home to Lovers Point,,,,,,,2,,,,,,,,,36.61753381330664,,$289,,-121.91677712528029,,,,,,,$110,,,,,Entire home/apt,,,,,
,,1,,,,,,,,,1,"B&B, w/menu, ocean, luxuries & golf",,,,,,,1,,,,,,,2,,36.63137408597235,,$185,,-121.92938421995535,,,,Real Bed,,,$35,,,,,Private room,,,,,
,,1,,,,,,,,,1,Nice 1 Bedroom with Queen bed,,,11:00 AM,,,,1,,,,,,,2,,36.61378638574771,,$90,,-121.83578028526905,,,,Real Bed,,,$5,,,,,Private room,,,,,
,,1,,,,,,,,,1,Upstairs Victorian In Monterey,,,11:00 AM,,,,1,,,,,,,2,,36.59792176063433,,$73,,-121.89796138590476,,,,Real Bed,,,$30,2:00 PM - 4:00 PM,,,,Entire home/apt,,,,,
,,4,,,,,,,,,3,Peaceful Artist Home w/Ocean View,,,11:00 AM,,,,,,,,,,,,,36.60482272117823,,$325,,-121.92567871730215,,,,,,,$150,4:00 PM,,,,Entire home/apt,,,,,
,,3,,,,,,,,,2,1/2 Block from Ocean-Jewell Cottage,,,12:00 PM (noon),,,,2,,,,,,,5,,36.624648810578186,,$559,,-121.91530065898596,,,,,,,,3:00 PM,,,,Entire home/apt,,,,,
,,1,,,,,,,,,1,Room B,,,1:00 PM,,,,1,,,,,,,2,,36.62089697885409,,$68,,-121.83732038585646,,,,Real Bed,,,$10,6:00 PM,,,,Private room,,,,,
,,3,,,,,,,,,3,Cute Entire House Sleeps 6,,,1:00 PM,,,,2,,,,,,,,,36.60955448950769,,$209,,-121.83451458820156,,,,,,,$50,6:00 PM,,,,Entire home/apt,,,,,
,,1,,,,,,,,,1,Only 6/1 to 8/5 long term Summer!,,,11:00 AM,,,,1,,,,,,,1,,36.59403782441048,,$55,,-121.83895320812118,,,,Real Bed,,,,,,,,Private room,,,,,
